CMDLINE /Library/Frameworks/Python.framework/Versions/3.13/bin/python3.13 services/sales_service.py
MEM 0.359375 1732982394.3342
MEM 8.617188 1732982394.4364
MEM 14.632812 1732982394.5391
MEM 20.511719 1732982394.6419
MEM 21.285156 1732982394.7437
MEM 22.550781 1732982394.8465
MEM 23.566406 1732982394.9504
MEM 24.992188 1732982395.0541
MEM 28.320312 1732982395.1567
MEM 31.316406 1732982395.2619
MEM 33.148438 1732982395.3634
MEM 35.066406 1732982395.4685
MEM 37.191406 1732982395.5705
MEM 39.160156 1732982395.6709
MEM 40.234375 1732982395.7718
MEM 41.355469 1732982395.8766
MEM 41.878906 1732982396.0640
MEM 41.886719 1732982396.1846
